Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Gaukhar Amanzhol,23 апреля 2025,Офицант Маржан❤️ отличное обслуживание 🔥 очень понравилось спасибо,5,Aspan,4.6,2324
Kymbat Albatyr,23 апреля 2025,"Хороший ресторан, хорошие обслуживание особенно благодаря официанту Маржан🩷",5,Aspan,4.6,2324
Куаныш Тажибек,"23 апреля 2025, отредактирован","Маржан официянт ұнады,барлығы жақсы👍🏻",5,Aspan,4.6,2324
Динара Абуова,23 апреля 2025,Маржан 👍🏻👍🏻👍🏻Рақмет үлкен.Жақсы қызмет болды🫶🏻,5,Aspan,4.6,2324
Нұрсая Қанибекова,23 апреля 2025,Тағамдары жақсы обслуживание өте жақсыы Маржан деген кісі өте керемет екен👍🏼,5,Aspan,4.6,2324
Нұржан Жаримбетов,23 апреля 2025,Маржан офицант тез қызмет көрсетті🔥,5,Aspan,4.6,2324
Жалгас Абденов,23 апреля 2025,"Атмосфера күшті,барлығы жағымды официант Маржан ризамыз барлығы көңілден шықты👌👍🏽",5,Aspan,4.6,2324
Мейржан Мейрамбек,23 апреля 2025,"Тағамдары өте керемет,Барлығымызға ұнады!!!",5,Aspan,4.6,2324
Адель Амит,23 апреля 2025,"туылған күн тойладық обслуживание оте керемет
Официант Маржанға рахмет🤍🤍🤍",5,Aspan,4.6,2324
Алия Сарбасова,22 апреля 2025,"Отравились в этом заведении, если завтра не станет легче, будем вызвать СЭС. Не рекомендую",1,Aspan,4.6,2324
Диас Мекенов,22 апреля 2025,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,5,Aspan,4.6,2324
Manas Jiemurtov,22 апреля 2025,Плоб оте дамди келып жесеныз окынбейсызгой мина плоб дами енды айта алмайсынгой,5,Aspan,4.6,2324
Asylai Alibek,21 апреля 2025,🔥🔥🔥,5,Aspan,4.6,2324
Алмаз Амангелді,21 апреля 2025,Туган Кун откздк Оте жаксы отти 👍🏻,5,Aspan,4.6,2324
xanskiy xanskiyyy,"20 апреля 2025, отредактирован",Тема тема😍😍😍,5,Aspan,4.6,2324
Алтыша Б,20 апреля 2025,"Только что вышли из данного заведения. Ну что сказать, ожидание- реальность. Во первых само заведение максимально не соответствует названию. Думали будет ресторан восточной кухни. По факту это бывшее караоке или ночной клуб. На первом этаже накурено, дым коромыслом от кальяна. Запах уборной по всему комплексу стоит. Нас посадили на втором этаже. Мы были одни на целом этаже. Еда приходила вся холодная и оочень жирно готовят. По вкусу блюда более менее. Но подача ужасная. На третьем этаже где есть детская площадка- ваоялись пьяные люди в прямом смысле на полу. Пьяный мужик лежал в сухом бассейне с шариками. Никто ему замечание не делал. В общем кое как доели и убежали. Вернусь ли еще сюда? Очевидно, что НЕТ 👎",3,Aspan,4.6,2324
Dina Iles,20 апреля 2025,"Еда не свежая, шашлыки жесткие, посуды старые и грязные. Официанты не умеют обслуживать, администратора вообще не видела, игровая на 6-8 детей, если больше не поместятся, пол вообще не моют что ли грязные и липкие. Официанту говоришь что мясо твердое итд просто до слушала и все отвернулась и пошла сидеть дальше в телефоне. Отработать возражение от клиента не умеют делать, когда уходили тоже от других гостей тоже слышали что не свежие продукты и шашлыки
Были 19 апреля",1,Aspan,4.6,2324
Shakirullah Shakir,19 апреля 2025,Позвонили им за ранее сказали есть места когда приехали с детьми еле еле поднялись на 3 этаж не было места и очень нагрубили,1,Aspan,4.6,2324
Жулдыз Амирова,19 апреля 2025,"Люди не приходите😡!!! Шашлык подошва!! Фри ужасное, бургер с магазина будто! Крайне огорчена, 20 000 оставили, вообще не стоит этого!",1,Aspan,4.6,2324
Ардак Беккожаева,"19 апреля 2025, отредактирован","Были в этом заведении, понравилась только детская зона. Лагман вообщее 1из10. Шашлык тоже так себе, салат норм.",1,Aspan,4.6,2324
BAO OAB,19 апреля 2025,"Бургер 2/10 - высохшая булочка, котлета невкусная
Лагман 8/10 - вид не очень, на вкус нормальный
Плов 8/10 - рис был сыроват, порция хорошая, мяса много
Кола 10/10 😄",3,Aspan,4.6,2324
Togzhan 😜,16 апреля 2025,Просто топ зведения😍😉,5,Aspan,4.6,2324
Amir Beketai,16 апреля 2025,Плов четки,5,Aspan,4.6,2324
Самрат Me🖤ྀི,16 апреля 2025,Тамактары унады,5,Aspan,4.6,2324
Temirlan B,16 апреля 2025,Хорошое место,5,Aspan,4.6,2324
daryn zzot,16 апреля 2025,спасибо всем сотрудникам!!!,5,Aspan,4.6,2324
Бекасыл Абдрахманұлы,16 апреля 2025,Обслуживания 👍🏻👍🏻,5,Aspan,4.6,2324
Zhaniya Kydyr,16 апреля 2025,"Приветливый персонал, готовят быстро, лагманы очень вкусные! Спасибо большое!",5,Aspan,4.6,2324
aidar__ov .,16 апреля 2025,"Обслуживание очень хороший, и блюда очень вкусно. Спасибо всем сотрудникам",5,Aspan,4.6,2324
Imran Mb,16 апреля 2025,Тамактпры кушти унады рахмет❤️🫂,5,Aspan,4.6,2324
Aneliya Садриева,16 апреля 2025,"Мы рядом в бизнес центре работаем, всегда здесь пообедаем. Очень вкусно. Сервис очень хорошо👍🏻 10/10",5,Aspan,4.6,2324
Дан,"16 апреля 2025, отредактирован",Еда норм,5,Aspan,4.6,2324
Сунгат Сегизбаев,16 апреля 2025,👍👍,5,Aspan,4.6,2324
Не указано,13 декабря 2024,"Очень вкусно в этом кафе! Приходили на обед.
Рекомендую!
Порции огромные, вкусно по-домашнему 😋
Особенно плов и куырдак!
Придем еще!",5,Сорбон,4.6,157
Bakhtiyar Mynkozhayev,21 апреля 2025,"Очень хорошое обслуживание, очень вкусный шашлык. Приятная обстановка. Хорошие люди. А самое главное халял!!!! Не курят и не алкоголи. 👍👍👍👍",5,Сорбон,4.6,157
Айжан Шаяхметова,21 апреля 2025,"Постоянно обедаю в кафе ""Сорбон "", очень нравятся шашлыки, плов , люля - кебаб. Рекомендую.",5,Сорбон,4.6,157
Appl User,"10 апреля 2025, отредактирован",можно отравиться,1,Сорбон,4.6,157
Айгуль Оспанкулова,8 апреля 2025,Все супер,5,Сорбон,4.6,157
Аружан Хапезова,"7 апреля 2025, отредактирован",Шашлык прям 😍 Советую 100/10,5,Сорбон,4.6,157
Gul 🌸,"7 апреля 2025, отредактирован",10/10,5,Сорбон,4.6,157
Rasul Kazymov,30 марта 2025,Пожалел,1,Сорбон,4.6,157
Iskander Amirov,30 марта 2025,"Ораза айт кабыл болсын! Накормили бесплатно,шорпа очень вкусно!",5,Сорбон,4.6,157
Daniil Sokolyuk,15 марта 2025,"Взяли тандырную самсу и сосиски в тесте на улице. И то и другое оставили у ближайшей мусорки, ибо, невозможно есть. Самса вообще без мяса, только полусырой лук, сырое тесто, вонючий жир. Сосиски вообще прикол, давно не видел, чтобы сосиски красили тесто в розовый цвет. Проверяйте, что закупаете, сделайте сосиски по 500-600, а не 400, но купите нормальный продукт. Остальное не ели, комментариев дать не могу. Возможно кафе и неплохое, но хуже в моей жизни самсы не было.",1,Сорбон,4.6,157
Dinara Bazarbayeva-Sakhaman,27 февраля 2025,"Взяла с собой манты и плов,есть невозможно.воняет,с мелкими костями,морковь протухшая.
Не советую есть тут,обходите стороной.
Манты все развалились,тесто отдельно,начинка отдельно.
Должны быть перепелиные яйца в плове,а тут 1/4 большого куриного яйца.
Вообщем разочарована по всем фронтам)",1,Сорбон,4.6,157
Zeilkhan Tagaev,"26 февраля 2025, отредактирован",Все очень вкусно! Хорошая восточная кухня. Больше всего рекомендую попробовать шашлык. Гарантирую гастрономический взрыв!!!,5,Сорбон,4.6,157
Мейржан Бауыржанов,13 февраля 2025,"Вкусно, чисто, уютно.",5,Сорбон,4.6,157
Дархан Маликаждар,13 февраля 2025,"Советую не кушать там !
Очень плохо готовят
Мясо воняет !!!",1,Сорбон,4.6,157
Maksat Izzhanov,"2 февраля 2025, отредактирован",Готовят неплохо. Быстро подают. Но правда не самая диетическая кухня лично для меня.,5,Сорбон,4.6,157
R X,"30 января 2025, отредактирован","Очень, очень долго ждать шашлык. Он того не стоит, в других заведениях на порядок вкуснее, при схожей стоимости, и несут быстрее.",1,Сорбон,4.6,157
Sholpan Beşe,"27 января 2025, отредактирован","Очень вкусно. Не скажу что классный интерьер, но есть своя изюминка. Если кто хочет покушать как в южных регионах - самое то👍",5,Сорбон,4.6,157
Ami Lun,24 декабря 2024,"Уже год ходим в данное заведение. Всегда вкусное и свежее мясо, порции большие. То чувство , когда ешь с удовольствием 😁
Вежливый персонал и руководство. Даже однажды угостили вкусной дыней 🥰 если хотите отдохнуть и вкусно покушать - то определенно вам сюда )",5,Сорбон,4.6,157
Айгерим А,13 декабря 2024,"Рекомендую данное заверение, если хотите покушать вкусный плов и куырдак, вкусно, порции большие, парни приветливые, ещё придем другие блюда пробовать, в меню есть жаренная рыба",5,Сорбон,4.6,157
Акуна Матата,11 декабря 2024,"Замечательная кухня, так всё мило и по-домашнему. Мне очень нравится, что здесь не курят и не употребляют алкоголь. Радуемся с самого открытия чайханы, как она преображается с каждым днём. Большое, спасибо, за ваши труды.",5,Сорбон,4.6,157
Pavel Pavel,20 ноября 2024,Очень вкусная и свежая еда. Люля кебаб просто отрыв фляги😄 всем рекомендую,5,Сорбон,4.6,157
Кумис Байзакова,"31 октября 2024, отредактирован",Пожалуй самые вкусные и огромные манты в городе а цена вас удивит. Бульон плов все готовится на огромных казанах,5,Сорбон,4.6,157
Ася Арт,6 октября 2024,"Очень вкусный шашлык, большие порции, приятная осенняя атмосфера",5,Сорбон,4.6,157
Сергей Токарев,26 сентября 2024,"Брал шашлык, это лучший шашлык из баранины - который мы когда либо ели 10/10",5,Сорбон,4.6,157
Ольга Романова,"25 августа 2024, отредактирован","Заведение без пафоса, скромное. Но кормят очень вкусно! Порция плова огромная, люля - ум отъешь. Шашлык тоже хорош. Меню небольшое, цены приемлемые.",5,Сорбон,4.6,157
Талас Саясат,"8 августа 2024, отредактирован","спасибо за вкусные шашлыки! правда люля жирная хотя может она и должна такой быть, хоть и жырная но капец какая вкусная👍🏽 в общем лучшие шашлыки туда ребята не пожалеете!)",5,Сорбон,4.6,157
Kazbek Aidyngaliyev,22 июля 2024,Очень вкусный плов👍🏻,5,Сорбон,4.6,157
🤍 😉,21 июля 2024,"Шашлыки оч вкусные, обслуживание топчик, очень атмосферное место",5,Сорбон,4.6,157
DarK Han,"3 июня 2024, отредактирован","Шарапсыз хамрсыз жақсы мейрамхана, өте дәмді шашлык, ұзақтау болуы мүмкән собой заказ көп екен. Жайнамаз бар екен.",5,Сорбон,4.6,157
Микс донер Марат,22 мая 2024,10/10 лучше,5,Сорбон,4.6,157
Чсссс Отз,2 мая 2024,Шашлыктары дәмді😍❤️,5,Сорбон,4.6,157
Gul Jan,24 апреля 2024,Так хотела бауырсаки! И купила тут только что. Оооочень вкусные!!!! Рахмет!!!!,5,Сорбон,4.6,157
Рустамхан Анварханов,20 апреля 2024,Просто супер,5,Сорбон,4.6,157
Anton Ant,19 апреля 2024,"Шашлык хорошо готовят, вкусно.
Когда тепло на улице приятно посидеть.
Очень вежливые всегда, доброжелательные 👍",5,Сорбон,4.6,157
Мадина Кожахметова,"11 апреля 2024, отредактирован","Порция шашлыков 😻😻😻😻
Вкусно очень",5,Сорбон,4.6,157
Amir ZAN,7 апреля 2024,Вкусно и оперативно. Всем рекомендую к посещению),5,Сорбон,4.6,157
Мадина Талдыбаева,31 марта 2024,"Очень вкусно готовят: шашлыки, рыба, плов, манты, сорпа. Мы часто заказываем и все попробовали. Все чисто, уютно.",5,Сорбон,4.6,157
Эльмира Эльмировна,31 января 2024,"У сазана мясо при жарке белое.... у змееголова мясо при жарке розовато красное.
За место сазана, продали змееголова. Обидно.
Чтоб не заметили о подмене.... еще и пережарили.",1,Сорбон,4.6,157
Stephen Curry,11 декабря 2023,"Очень дорого, цена как в ресторанах.
Холодно и некомфортно сидеть.
Шашлыки мало того что дорогие так ещё и не вкусные и не сытные.
Плюс, сомневаюсь что куриный шашлык это на самом деле шашлык, как будто курица в духовке.
Только люля был нормальным.
Фирменное блюдо от шефа также бесвкусное и дорогое.
Никому не рекомендую, зря потраченное время и деньги, никакого комфорта.
Даже чай не вкусный.
Фото в отзывах не соответствуют действительности.",1,Сорбон,4.6,157
Apple User,2 декабря 2023,Вкусно покушали и есть место где можно совершить намаз,5,Сорбон,4.6,157
Исламдин Лоиков,30 ноября 2023,Все классно вкусно обслуживание отличное в общем все понравилось,5,Сорбон,4.6,157
saken burabaev,28 ноября 2023,Шашлыгы мен палауы дәмді. Бағалары да қолжетімді. Бізге барлығы ұнады. Рақмет!,5,Сорбон,4.6,157
Alisher Orikbayev,"26 ноября 2023, отредактирован",Вкусно и недорого! Очень вежливый персонал👍🏻,5,Сорбон,4.6,157
Асанали Бахытжанов,25 ноября 2023,"Очень вкусно, никогда такие беляши не ел, вкусно готовят, рекомендую 👍🏻",5,Сорбон,4.6,157
Alexandr OGAY,"20 ноября 2023, отредактирован",Еда всегда свежая . Кухня очень вкусная . От плова до пирожков ! Очень дружелюбный коллектив ! Рыба жареная тоже вкусная 🙌🏻,5,Сорбон,4.6,157
Nurlan K,15 ноября 2023,"Печень сырая была, антрекот жирный,шорпа средненько,",3,Сорбон,4.6,157
Ruslan Kikin,5 ноября 2023,Самая вкусная сорпа в городе. Почему то владельцы об этом молчат и никак не рекламируют. Знают не многие и в меню особо не рекламируют. В для знатоков- рекомендую как основное блюдо👍,4,Сорбон,4.6,157
sweet girl💕,5 ноября 2023,Очень вкусно и сытно🔥 Обслуживание на высшем уровне👍🏻 Рекомендую всем!,5,Сорбон,4.6,157
Игорь Т.,"31 октября 2023, отредактирован",Вкусный плов,5,Сорбон,4.6,157
Жандос Курманалиев,30 октября 2023,Очень хорошо готовят. Порции очень большие соответствуют цене. Обслуживающий персонал 👍👍 А самое главное халал!,5,Сорбон,4.6,157
Не указано,27 августа 2024,Im from korea. This restaurant waiter is very kind. Beer is very very nice. Food is very delicious. And music is jazz style. Interior is very calmdown mood.,5,Мята Kz Бухар-Жырау,4.8,1203
Амина mediacake,26 апреля 2025,"Очень классное заведение, по кухне вкусно, сервис на высшем уровне. Кальян супер, спасибо Валерие за крутые кальяны 😍 всё очень понравилось!
Теперь буду приходить сюда чаще.",5,Мята Kz Бухар-Жырау,4.8,1203
Ксения Панченко,26 апреля 2025,Валерия порадовала шикарным кальяном и милой беседой. Спасибо за хороший вечер всему персоналу!,5,Мята Kz Бухар-Жырау,4.8,1203
Дана Толембекова,26 апреля 2025,"Валерия самая приветливая девушка, доброжелательная, внимательная супер💛 повезло вашему заведению с таким сотрудником 😘",5,Мята Kz Бухар-Жырау,4.8,1203
Динара Али,26 апреля 2025,"Спасибо за обслуживание! Валерия отличная кальянщица.
Растислав обслужил очень вежливо и быстро!",5,Мята Kz Бухар-Жырау,4.8,1203
Талгат Ыбраимов,26 апреля 2025,Хорошее заведение. Качественное обслуживание. Кальян от Валерии был супер,5,Мята Kz Бухар-Жырау,4.8,1203
Нурали Омирзак,26 апреля 2025,Валерия огонь спасибо вам!,5,Мята Kz Бухар-Жырау,4.8,1203
Anna Ussenko,26 апреля 2025,"Самый вкусный кальян, спасибо Валерии, которая его делает волшебным!",5,Мята Kz Бухар-Жырау,4.8,1203
Inel I,26 апреля 2025,Валерия - топ! Кальян вкусный) советую,5,Мята Kz Бухар-Жырау,4.8,1203
Batyrkhan Togaibayev,26 апреля 2025,"Респект Валерии, очень крепкие легкие. Здоровья крепкого. Рахмет за кальян!",5,Мята Kz Бухар-Жырау,4.8,1203
Евгений Аверьянов,26 апреля 2025,"Отличное место ! Кухня отменная , отношение персонала на высоте ! Заказали кальян он превзошёл все ожидания, спасибо девушке Валерии !",5,Мята Kz Бухар-Жырау,4.8,1203
Максим Подлипалин,26 апреля 2025,"Отдыхали сегодня компанией , шикарное место , вкусная кухня , атмосфера топ! Особенно хочу похвалить девушку Валерию кальянный мастер , кальян был супер, дымный , ароматный! Рекомендую!",5,Мята Kz Бухар-Жырау,4.8,1203
Никита Сиренко,26 апреля 2025,"Отличное место, рекомендую 🔥
Лера забивает мощные кальяны. Кухня тоже топ. Попробуйте фирменный чай с мятой обязательно",5,Мята Kz Бухар-Жырау,4.8,1203
Артём Фёдоров,26 апреля 2025,"Спасибо о большое, место очень понравилось. Рекомендую каждому попробовать кальян с грейпфрутом, Лере отдельное спасибо 🙌🏻",5,Мята Kz Бухар-Жырау,4.8,1203
Top Secret,24 апреля 2025,Был тут чисто такая атмосфера максимально негативная сотрудником как будто морально насилуют,1,Мята Kz Бухар-Жырау,4.8,1203
Name Lastname,16 апреля 2025,"Случайно зашла сюда пару дней назад, думала это сеть Мята. Оказалась это не тот мята. Кальян ужасно дорогой и к тому же беспонтовый. Дым горчит, вкус вообще не чувствуется. Женщина кальяншица не умеет делать кальян. Требую 50% оплаченной суммы обратно за кальян. Столы грязные, не вытирают на улице. Везде пыль. Никому не советую",1,Мята Kz Бухар-Жырау,4.8,1203
Арайлым 🧁,"11 апреля 2025, отредактирован","Пяти из пятит❤️
Дияр тоже пяти из пяти",5,Мята Kz Бухар-Жырау,4.8,1203
Ди<3,8 апреля 2025,Комфорт,5,Мята Kz Бухар-Жырау,4.8,1203
Dasha Sherstiuk,4 апреля 2025,"Обслуживание уровень Бог. Прекрасное отношение к гостям. Если вы не знаете что хотите кушать вам помогут🤣, очень атмосферно красиво. Подача интересная . А блюда вкусные. Барменам привет лучшие ребята. Привет от дамы с брекетами❤️",5,Мята Kz Бухар-Жырау,4.8,1203
Aiaulym Adilbay,3 апреля 2025,"Отличный персонал,вкусная еда!",5,Мята Kz Бухар-Жырау,4.8,1203
Uan Sholanbayev,3 апреля 2025,"Еда отвратная. Хорошо что не доел, слегка отравился изза них",1,Мята Kz Бухар-Жырау,4.8,1203
Viola Diet,17 марта 2025,"Оочень нравится интерьер, когда впервые пришла буквально влюбилась, и дизайн меню поразил меня, приемлемые цены, вежливый персонал, особенно администратор, буду советовать всем",5,Мята Kz Бухар-Жырау,4.8,1203
omrbkvv01 .,"17 марта 2025, отредактирован",Топчик,5,Мята Kz Бухар-Жырау,4.8,1203
Гулима,14 марта 2025,Всё супер всем довольна СОВЕТУЮ,5,Мята Kz Бухар-Жырау,4.8,1203
Alikhan Ermakhan,10 марта 2025,"обслуживание классное, официант вежлив везде поможет с выбором, кальян тоже стоит того. часто сюда заходим, отзывы никогда не писал, но любимая мята в городе👍 советую)",5,Мята Kz Бухар-Жырау,4.8,1203
Aigerim Abdeli,"10 марта 2025, отредактирован","Редко пишу отзыв,но это заведение хотелось бы поблагодарить,качество обслуживание,внимательность на высшем уровне👌было одно замечание по блюду которое быстро решили что было очень приятно,кстати этот ресторан не относится к сети ""Мята""",5,Мята Kz Бухар-Жырау,4.8,1203
Дина Нуркасым,25 февраля 2025,"Отличное заведение,всем советую.Все очень вкусно и красиво,обслуживание на высшем уровне.Суши,горячие блюда,салаты,десерты очень вкусные😍",5,Мята Kz Бухар-Жырау,4.8,1203
Aigul Zhami,23 февраля 2025,Нас с собакой не впустили даже на террасу. Грустное место,1,Мята Kz Бухар-Жырау,4.8,1203
Амир Науатбеков,"20 февраля 2025, отредактирован","Наверно самый лучший ресторан в Алматы, Атмосфера, Сервис, Кухня, все на самом высшем уровне! Официанты профессионалы своего ремесла, как и кухня и бар и конечно кальнщики) Если вы живете в Алматы или проездом в нашем красивом и колоритном городе, обязательно посетите Мяту на Бухар Жырау!",5,Мята Kz Бухар-Жырау,4.8,1203
Макс Нигматулин,"17 февраля 2025, отредактирован",Вопросы по сервису . А так дизайн все отлично. Цены адекватные,3,Мята Kz Бухар-Жырау,4.8,1203
Татьяна Sh,16 февраля 2025,"Отличное заведение, приятный и вежливый персонал, отдельное спасибо хотим выразить официанту Акмалю (Ако) за хорошее обслуживание!!!",5,Мята Kz Бухар-Жырау,4.8,1203
Askor Been💓,10 февраля 2025,Самое крутое заведение лаундж в городе💓,5,Мята Kz Бухар-Жырау,4.8,1203
Сания Шыныбаева,3 февраля 2025,Хорошее место для отдыха с друзьями,5,Мята Kz Бухар-Жырау,4.8,1203
Антонио Дукитос,"28 января 2025, отредактирован",Дымный коктейль совсем был печальный,2,Мята Kz Бухар-Жырау,4.8,1203
Дарья Иванникова,"27 января 2025, отредактирован",Очень понравился ланч и кальян от Валерии. Спасибо за скидки.,5,Мята Kz Бухар-Жырау,4.8,1203
Да Рига,"27 января 2025, отредактирован","Чудесный кальян и вкусная еда, ходим почти каждый день. Ввели новые ланчи, тоже нравятся. Рекомендую от души))) Валерия кальящица хорошо делает!!!",5,Мята Kz Бухар-Жырау,4.8,1203
Adil Rahimov,"25 января 2025, отредактирован",Уютно и комфортно.,5,Мята Kz Бухар-Жырау,4.8,1203
INGKAR MUSSABEKOVA,"23 января 2025, отредактирован","Еда вкусная,еще у них делают чай на сифоне,очень красивая подача,вежливый персонал,администраторы лично следят за обслуживанием,нравится что ставят музыку не шумно.",5,Мята Kz Бухар-Жырау,4.8,1203
Тейипжан Хужамбердиев,"19 января 2025, отредактирован",Чисто уютно всё хорошо обслуживание огонь 🔥,5,Мята Kz Бухар-Жырау,4.8,1203
Тошпулод Хамидов,17 января 2025,"Посещали вчера ваше роскошное заведение, кухня на высоком уровне, атмосфера отличное, супер обслуживающий персонал. Отдельная благодарность Официанту по имени Давлат, за его предложение меню, интересное и вкусно выбранное блюдо. Быстро и оперативно принес нам еду, не оставил нас без внимания. Хорошо провели время, и не пожалели о том, что выбрали именно ваше заведение.
Давлат - звездочка⭐ вашего заведения. 🔥",5,Мята Kz Бухар-Жырау,4.8,1203
Alla Amirovna,17 января 2025,"Посещала 16.01.25 ваше заведение, всё понравилось: кухня, бар, кальян и особенно обслуживание. Спасибо, Давлат, за шикарный сервис🔥",5,Мята Kz Бухар-Жырау,4.8,1203
Ibra 💭,16 января 2025,Атмосферное место🫠,4,Мята Kz Бухар-Жырау,4.8,1203
Aselya Omarova,16 января 2025,"Приятная атмосфера, отдельное спасибо кальянному мастеру Арман, за его быстрый и акуратный сервис❤️❤️❤️теперь только к Вам ради незабываемого вкусного, качественого кальяна Армана🫶🫶",5,Мята Kz Бухар-Жырау,4.8,1203
🙃🙃 🙃🙃,16 января 2025,Арман кальяншик лучший микс советует красавчик рахмет Арман✊,5,Мята Kz Бухар-Жырау,4.8,1203
Адлет Амангельдиев,16 января 2025,"Кальянщик Арман топ
10/10",5,Мята Kz Бухар-Жырау,4.8,1203
Абулхаир Медеубеков,"16 января 2025, отредактирован","Уже не видим кальян без Мяты на Бухар Жырау) Кальян не подводит, спасибо мастерам. Персонал, менеджера всегда на позитиве, уточняют все ли хорошо, приятно, что можно оставить отзывы на месте. Кухня пока не подводила, надеюсь так будет всегда.
Нас компания из 4-6 человек, пока хорший ретеншн)

Обновленный обзор, мы все еще ходим сюда, спасибо мастерам Арману и Валерии.",5,Мята Kz Бухар-Жырау,4.8,1203
Ernst Muslimkhan,"15 января 2025, отредактирован",Заказал бургер. Ждал 64 минуты. Отменил. В итоге оформили с собой за счет заведения.,5,Мята Kz Бухар-Жырау,4.8,1203
Didar Kaba,14 января 2025,Спасибо за классный кальянный сервис! Особенно Валерия вам!,5,Мята Kz Бухар-Жырау,4.8,1203
Aitolkyn Shaimerdenova,"13 января 2025, отредактирован","Туған күнге 20% скидка деп айтты официант, чекте 15% деп көрсетіп берді, бірақ 15% скидка жасамаған 10%ға да жетпейді жасаған скидкасы, мейлі жасамай ақ қойсын, бірақ не үшін олай өтірік айтып адамды жынды қылады түсінбедім)) өтірік күліп өтірік чекпен шығарып салды)) поздравление без музыки официант аузымен айтып жасады🤣 честно не ожидала такого обслуживания от этого заведения, и кальян был не очень, сделали не от души, и обслуживал кальянчик очень плохо👎🏻 в общем не советую",1,Мята Kz Бухар-Жырау,4.8,1203
Айгуль Жакупова,13 января 2025,Заведение очень приличное интерьер со вкусом Кухня очень вкусная видно одни профессионалы своем деле работают Респект,5,Мята Kz Бухар-Жырау,4.8,1203
Не указано,10 октября 2024,"Интерьер керемет сөз жоқ. Даяршылары да қазақи нақышта киінген. Тағамдары енді супер құрт қосып ішетін сорпа, бауырдақтары, суптары, көжелер енді керемет. Тұмар деген ерекше тағамдар қатты ұнады. Тек ас ішіп емес көңілің жайланатын орын екен. Барлық қала қонақтары мен тұрғындарына кеңес беремін. Барып астарының дәмін көріңіздер. Шыныменде ""Ауылдың дәмі қаланың төрінде"" —деп бекер айтылмаған екен.",5,Bauyrdaq Qazaq Fast-food,4.9,713
Balausa Kambarbek,26 апреля 2025,"Прекрасное обслуживание! Официантка Каракат!😍 создала уютную атмосферу,
всегда с улыбкой, помогла с выбором блюд. Спасибо за сервис!🙌🏻",5,Bauyrdaq Qazaq Fast-food,4.9,713
Алтынай 🫶🏻 Кусаинова,25 апреля 2025,Тамактары куштыы,5,Bauyrdaq Qazaq Fast-food,4.9,713
Kulzhamila Smaiylova,"24 апреля 2025, отредактирован","Тағамдары ұнады
Әсіресе фирменный Бауырдақ өте керекмет Бахыт деген қыз өте керемет😍өз жұмысын тиянақты жасайды екен",5,Bauyrdaq Qazaq Fast-food,4.9,713
Kharullayev Daniyar,"21 апреля 2025, отредактирован",Конилимизден шыкты. Даяшы карындастарга коп рахмет суйкимди асемдеримен конилимизди котерди . Намазхана бар. Алла берекели етсин жумысынызды,5,Bauyrdaq Qazaq Fast-food,4.9,713
Apple User,21 апреля 2025,"Отдельное спасибо администратору — Кумысбеку невероятно вежливый, внимательный и доброжелательный человек. Помог выбрать столик, всё рассказал, сделал вечер ещё приятнее. 💫Обязательно вернёмся снова! Спасибо за атмосферу и качественный сервис 🤍",5,Bauyrdaq Qazaq Fast-food,4.9,713
Mi Mi,19 апреля 2025,"Все очень вкусно, нам понравилось! Однозначно 5 звезд.🥰",5,Bauyrdaq Qazaq Fast-food,4.9,713
Aigerim Kuttybaeva,"19 апреля 2025, отредактирован","Қыздар өте сыпайы,тағамдары дәмді",5,Bauyrdaq Qazaq Fast-food,4.9,713
U .,17 апреля 2025,обслуживание нашар,1,Bauyrdaq Qazaq Fast-food,4.9,713
Дарья Скапкарева,17 апреля 2025,"Спасибо Каракат за отличный обед, сервис и гостеприимство. Вкусное место, айран, баурсаки, комбо обеды. Рекомендую!",5,Bauyrdaq Qazaq Fast-food,4.9,713
Arai Zabikholla,17 апреля 2025,"Барлығы керемет, тағамдары дәмді! Офицантка Қарақат молодец👍🏻",5,Bauyrdaq Qazaq Fast-food,4.9,713
zhansaya zhanbyrbaevna,16 апреля 2025,Официантка Каракат👍🏻👍🏻,5,Bauyrdaq Qazaq Fast-food,4.9,713
Raikhan,"16 апреля 2025, отредактирован","Посетили это заведение и остались очень довольны! Особенно хотим отметить официанта Каракат — очень вежливая, внимательная и доброжелательная. Все принесла быстро, помогла с выбором, всегда с улыбкой!",5,Bauyrdaq Qazaq Fast-food,4.9,713
abylashova,16 апреля 2025,Официант Каракат👍🏻,5,Bauyrdaq Qazaq Fast-food,4.9,713
Zhanel,16 апреля 2025,"Бәрі ұнады тамақтары өте дәмді👍🏻 Керемет таңдау ұсынған Қарақат деген қызға рахмет
Барлығыңызды шақырамын советую",5,Bauyrdaq Qazaq Fast-food,4.9,713
Nazek Issatayeva,16 апреля 2025,"Официантка Каракат, очень вежливая девушка! Спасибо за отличный сервис и хорошее настроение!",5,Bauyrdaq Qazaq Fast-food,4.9,713
Айлин Айлин,16 апреля 2025,"Бешпармак и манты были просто великолепны!
Мясо в бешпармаке — мягкое, тающее во рту, лапша — как домашняя. Манты — сочные, с насыщенным вкусом, тесто тонкое, но крепкое. Все очень вкусно и по-домашнему. Обязательно вернусь ещё! Отдельное спасибо Динаре 🌹и Кумысбеку👍",5,Bauyrdaq Qazaq Fast-food,4.9,713
